machine_id,plant_location,temperature,vibration,pressure,humidity,runtime_hours,load_percentage,maintenance_history,failure_within_7days
M00001,Plant_C,85.21,0.442,28.83,56.01,1651,69.71,4,1
M00002,Plant_D,86.45,1.076,30.98,43.16,239,58.15,4,0
M00003,Plant_A,85.56,0.219,26.63,63.91,1932,55.85,1,0
M00004,Plant_C,80.9,0.932,33.33,68.59,806,77.95,1,0
M00005,Plant_C,78.03,1.133,31.74,41.8,797,65.02,3,0
M00006,Plant_D,78.49,0.857,49.81,51.74,574,99.87,1,1
M00007,Plant_A,78.05,0.639,25.67,54.63,1760,70.3,1,0
M00008,Plant_A,91.34,0.245,35.82,44.39,2001,60.61,4,0
M00009,Plant_C,85.94,1.12,36.98,66.03,2536,81.44,0,0
M00010,Plant_B,50.6,0.67,26.44,48.52,610,62.21,4,0
M00011,Plant_C,86.56,0.229,40.49,63.49,637,74.7,1,0
M00012,Plant_C,81.95,0.89,31.81,60.13,2360,74.13,3,1
M00013,Plant_C,79.81,0.682,15.06,57.94,1636,72.68,0,0
M00014,Plant_C,76.11,0.324,40.28,45.76,1388,89.8,1,0
M00015,Plant_D,91.24,0.414,26.06,46.62,1466,60.83,1,0
M00016,Plant_A,89.48,0.264,26.62,41.42,1161,95.22,5,0
M00017,Plant_D,72.27,0.774,40.5,47.22,332,89.57,3,1
M00018,Plant_D,84.07,0.822,32.22,50.36,2407,66.66,3,0
M00019,Plant_D,70.28,0.706,42.34,64.99,407,59.03,1,0
M00020,Plant_C,66.2,1.017,44.68,50.99,502,63.98,1,0
M00021,Plant_B,73.73,1.061,29.84,62.64,1096,66.63,4,0
M00022,Plant_A,88.62,0.816,41.35,53.18,1384,77.85,2,0
M00023,Plant_B,89.53,0.213,28.96,63.55,1599,52.32,3,0
M00024,Plant_D,85.13,0.895,52.86,69.29,849,95.72,3,0
M00025,Plant_D,87.25,0.618,29.46,47.2,1229,54.93,5,0
M00026,Plant_B,85.16,0.766,43.21,65.87,403,63.96,4,0
M00027,Plant_B,73.59,0.849,41.75,58.65,2490,55.46,0,0
M00028,Plant_B,84.32,0.55,37.53,64.52,1570,62.83,5,0
M00029,Plant_D,88.0,1.117,29.64,59.55,1161,91.88,5,1
M00030,Plant_D,87.54,0.334,33.79,52.72,954,80.76,0,0
M00031,Plant_A,91.89,0.872,17.77,46.84,1169,61.37,0,0
M00032,Plant_A,87.08,0.204,36.8,42.1,1845,93.59,3,0
M00033,Plant_D,83.51,1.125,37.8,56.07,1728,90.04,2,1
M00034,Plant_B,90.7,0.313,36.07,69.71,2403,87.68,2,0
M00035,Plant_B,79.73,0.295,11.21,62.14,2284,92.38,4,0
M00036,Plant_A,71.18,0.533,24.87,49.82,1354,80.98,0,0
M00037,Plant_D,78.37,0.574,29.02,64.82,917,75.07,0,1
M00038,Plant_A,72.55,0.414,37.33,63.07,1837,68.7,1,0
M00039,Plant_A,73.25,0.785,37.31,48.45,1072,61.19,4,0
M00040,Plant_C,78.55,0.643,33.64,40.43,137,77.87,5,0
M00041,Plant_C,72.08,0.234,40.08,43.54,1278,94.47,5,0
M00042,Plant_C,76.92,0.52,26.79,66.32,204,79.7,4,0
M00043,Plant_B,61.06,1.01,39.88,65.1,354,95.98,3,1
M00044,Plant_D,82.13,0.89,38.8,48.86,2635,67.85,3,0
M00045,Plant_D,80.01,0.925,38.02,48.56,2081,84.76,4,0
M00046,Plant_D,71.83,0.898,33.54,63.79,2605,82.43,2,0
M00047,Plant_D,86.59,0.511,49.65,68.13,2675,83.52,4,0
M00048,Plant_C,89.38,0.3,38.95,63.37,690,82.25,2,0
M00049,Plant_B,63.92,0.472,27.25,58.17,624,61.08,3,0
M00050,Plant_B,72.37,1.032,36.99,47.28,469,57.18,4,1
M00051,Plant_C,72.31,1.18,41.02,55.77,201,98.93,2,0
M00052,Plant_B,70.6,0.694,30.3,47.01,763,52.26,1,0
M00053,Plant_C,88.29,0.21,43.71,64.24,789,73.39,1,0
M00054,Plant_D,78.06,0.34,38.06,51.61,2026,71.25,4,0
M00055,Plant_C,77.35,0.522,16.26,65.01,2746,68.0,0,0
M00056,Plant_D,59.96,0.779,37.4,51.45,2747,89.1,4,0
M00057,Plant_D,86.35,0.275,31.75,64.72,2688,87.27,3,0
M00058,Plant_A,67.61,1.143,39.3,50.0,1635,95.26,3,0
M00059,Plant_C,80.6,0.565,42.55,53.2,2536,69.77,1,0
M00060,Plant_A,82.77,1.113,36.56,58.46,2510,78.21,2,0
M00061,Plant_C,93.61,0.981,48.32,42.11,2128,94.62,1,0
M00062,Plant_C,66.91,0.955,33.57,68.45,1030,99.69,2,0
